NER Evaluation Details
========================================

--- anatomical_structures ---

[False Negatives (1): Entities missed by the pipeline]
  - Entity: 'hypocotyl', Type: anatomical_structures, Span: (27965, 27974)
  - Entity: 'betalains', Type: compounds, Span: (2415, 2424)
  - Entity: 'betalains', Type: compounds, Span: (51152, 51161)
  - Entity: 'betalains', Type: compounds, Span: (51925, 51934)
  - Entity: 'protocatechuate', Type: compounds, Span: (41871, 41886)

[False Positives (5): Entities incorrectly predicted by the pipeline]
  - Entity: 'l-dopa 4,5-dioxygenase', Type: compounds, Span: (42482, 42504)
  - Entity: 'l-dopa 4,5-dioxygenase', Type: compounds, Span: (42586, 42608)
  - Entity: 'luciferase', Type: compounds, Span: (32076, 32086)
  - Entity: 'purine', Type: compounds, Span: (48524, 48530)
  - Entity: 'pyrrolizidine alkaloids', Type: compounds, Span: (48718, 48741)

[True Positives (205): Entities correctly predicted]
  - Entity: 'anthocyanin', Type: compounds, Span: (3861, 3872)
  - Entity: 'anthocyanin', Type: compounds, Span: (5152, 5163)
  - Entity: 'anthocyanin', Type: compounds, Span: (22012, 22023)
  - Entity: 'anthocyanin', Type: compounds, Span: (22130, 22141)
  - Entity: 'anthocyanin', Type: compounds, Span: (22925, 22936)
  - Entity: 'anthocyanin', Type: compounds, Span: (23020, 23031)
  - Entity: 'anthocyanin', Type: compounds, Span: (36187, 36198)
  - Entity: 'anthocyanin', Type: compounds, Span: (46254, 46265)
  - Entity: 'anthocyanin', Type: compounds, Span: (49020, 49031)
  - Entity: 'anthocyanin', Type: compounds, Span: (49152, 49163)
  - Entity: 'anthocyanin', Type: compounds, Span: (50078, 50089)
  - Entity: 'anthocyanin', Type: compounds, Span: (50429, 50440)
  - Entity: 'anthocyanins', Type: compounds, Span: (2305, 2317)
  - Entity: 'anthocyanins', Type: compounds, Span: (2769, 2781)
  - Entity: 'anthocyanins', Type: compounds, Span: (3002, 3014)
  - Entity: 'anthocyanins', Type: compounds, Span: (3297, 3309)
  - Entity: 'anthocyanins', Type: compounds, Span: (21016, 21028)
  - Entity: 'anthocyanins', Type: compounds, Span: (21191, 21203)
  - Entity: 'anthocyanins', Type: compounds, Span: (21559, 21571)
  - Entity: 'anthocyanins', Type: compounds, Span: (51135, 51147)
  - Entity: 'anthocyanins', Type: compounds, Span: (51437, 51449)
  - Entity: 'anthocyanins', Type: compounds, Span: (51900, 51912)
  - Entity: 'anthocyanins', Type: compounds, Span: (52081, 52093)
  - Entity: 'anthocyanins', Type: compounds, Span: (52174, 52186)
  - Entity: 'anthocyanins', Type: compounds, Span: (52960, 52972)
  - Entity: 'betacyanin', Type: compounds, Span: (7769, 7779)
  - Entity: 'betacyanin', Type: compounds, Span: (7885, 7895)
  - Entity: 'betacyanin', Type: compounds, Span: (25868, 25878)
  - Entity: 'betacyanin', Type: compounds, Span: (25984, 25994)
  - Entity: 'betacyanin', Type: compounds, Span: (26229, 26239)
  - Entity: 'betacyanin', Type: compounds, Span: (31349, 31359)
  - Entity: 'betacyanins', Type: compounds, Span: (4064, 4075)
  - Entity: 'betalain', Type: compounds, Span: (2263, 2271)
  - Entity: 'betalain', Type: compounds, Span: (2623, 2631)
  - Entity: 'betalain', Type: compounds, Span: (2709, 2717)
  - Entity: 'betalain', Type: compounds, Span: (3439, 3447)
  - Entity: 'betalain', Type: compounds, Span: (3593, 3601)
  - Entity: 'betalain', Type: compounds, Span: (3660, 3668)
  - Entity: 'betalain', Type: compounds, Span: (3702, 3710)
  - Entity: 'betalain', Type: compounds, Span: (3886, 3894)
  - Entity: 'betalain', Type: compounds, Span: (4014, 4022)
  - Entity: 'betalain', Type: compounds, Span: (4110, 4118)
  - Entity: 'betalain', Type: compounds, Span: (4295, 4303)
  - Entity: 'betalain', Type: compounds, Span: (4397, 4405)
  - Entity: 'betalain', Type: compounds, Span: (4526, 4534)
  - Entity: 'betalain', Type: compounds, Span: (5102, 5110)
  - Entity: 'betalain', Type: compounds, Span: (8758, 8766)
  - Entity: 'betalain', Type: compounds, Span: (21743, 21751)
  - Entity: 'betalain', Type: compounds, Span: (22032, 22040)
  - Entity: 'betalain', Type: compounds, Span: (22153, 22161)
  - Entity: 'betalain', Type: compounds, Span: (22411, 22419)
  - Entity: 'betalain', Type: compounds, Span: (23100, 23108)
  - Entity: 'betalain', Type: compounds, Span: (23487, 23495)
  - Entity: 'betalain', Type: compounds, Span: (25036, 25044)
  - Entity: 'betalain', Type: compounds, Span: (25110, 25118)
  - Entity: 'betalain', Type: compounds, Span: (25681, 25689)
  - Entity: 'betalain', Type: compounds, Span: (29212, 29220)
  - Entity: 'betalain', Type: compounds, Span: (33404, 33412)
  - Entity: 'betalain', Type: compounds, Span: (33604, 33612)
  - Entity: 'betalain', Type: compounds, Span: (35570, 35578)
  - Entity: 'betalain', Type: compounds, Span: (36206, 36214)
  - Entity: 'betalain', Type: compounds, Span: (42681, 42689)
  - Entity: 'betalain', Type: compounds, Span: (42826, 42834)
  - Entity: 'betalain', Type: compounds, Span: (43033, 43041)
  - Entity: 'betalain', Type: compounds, Span: (43362, 43370)
  - Entity: 'betalain', Type: compounds, Span: (46180, 46188)
  - Entity: 'betalain', Type: compounds, Span: (46274, 46282)
  - Entity: 'betalain', Type: compounds, Span: (49409, 49417)
  - Entity: 'betalain', Type: compounds, Span: (49612, 49620)
  - Entity: 'betalain', Type: compounds, Span: (49767, 49775)
  - Entity: 'betalain', Type: compounds, Span: (50053, 50061)
  - Entity: 'betalain', Type: compounds, Span: (51115, 51123)
  - Entity: 'betalain', Type: compounds, Span: (51386, 51394)
  - Entity: 'betalain', Type: compounds, Span: (51487, 51495)
  - Entity: 'betalain', Type: compounds, Span: (51678, 51686)
  - Entity: 'betalain', Type: compounds, Span: (51761, 51769)
  - Entity: 'betalain', Type: compounds, Span: (52336, 52344)
  - Entity: 'betalain', Type: compounds, Span: (52519, 52527)
  - Entity: 'betalains', Type: compounds, Span: (3247, 3256)
  - Entity: 'betalains', Type: compounds, Span: (3314, 3323)
  - Entity: 'betalains', Type: compounds, Span: (5345, 5354)
  - Entity: 'betalains', Type: compounds, Span: (21032, 21041)
  - Entity: 'betalains', Type: compounds, Span: (21178, 21187)
  - Entity: 'betalains', Type: compounds, Span: (21575, 21584)
  - Entity: 'betalains', Type: compounds, Span: (40424, 40433)
  - Entity: 'betalains', Type: compounds, Span: (48950, 48959)
  - Entity: 'betalains', Type: compounds, Span: (52647, 52656)
  - Entity: 'betalains', Type: compounds, Span: (53298, 53307)
  - Entity: 'betalamic acid', Type: compounds, Span: (4483, 4497)
  - Entity: 'betalamic acid', Type: compounds, Span: (5466, 5480)
  - Entity: 'betalamic acid', Type: compounds, Span: (6754, 6768)
  - Entity: 'betalamic acid', Type: compounds, Span: (6950, 6964)
  - Entity: 'betalamic acid', Type: compounds, Span: (28814, 28828)
  - Entity: 'betalamic acid', Type: compounds, Span: (47679, 47693)
  - Entity: 'betalamic acid', Type: compounds, Span: (47976, 47990)
  - Entity: 'betalamic acid', Type: compounds, Span: (48179, 48193)
  - Entity: 'betanin', Type: compounds, Span: (26297, 26304)
  - Entity: 'betanin', Type: compounds, Span: (27162, 27169)
  - Entity: 'betanin', Type: compounds, Span: (27737, 27744)
  - Entity: 'betanin', Type: compounds, Span: (27910, 27917)
  - Entity: 'betanin', Type: compounds, Span: (28024, 28031)
  - Entity: 'betanin', Type: compounds, Span: (28460, 28467)
  - Entity: 'betanin', Type: compounds, Span: (28611, 28618)
  - Entity: 'betanin', Type: compounds, Span: (29787, 29794)
  - Entity: 'betanin', Type: compounds, Span: (29877, 29884)
  - Entity: 'betanin', Type: compounds, Span: (30039, 30046)
  - Entity: 'betanin', Type: compounds, Span: (30193, 30200)
  - Entity: 'betanin', Type: compounds, Span: (30352, 30359)
  - Entity: 'betanin', Type: compounds, Span: (30638, 30645)
  - Entity: 'betanin', Type: compounds, Span: (31480, 31487)
  - Entity: 'betanin', Type: compounds, Span: (31558, 31565)
  - Entity: 'betanin', Type: compounds, Span: (31621, 31628)
  - Entity: 'betanin', Type: compounds, Span: (31924, 31931)
  - Entity: 'betanin', Type: compounds, Span: (32097, 32104)
  - Entity: 'betanin', Type: compounds, Span: (32212, 32219)
  - Entity: 'betanin', Type: compounds, Span: (40949, 40956)
  - Entity: 'betaxanthins', Type: compounds, Span: (4040, 4052)
  - Entity: 'caffeine', Type: compounds, Span: (48548, 48556)
  - Entity: 'isobetanin', Type: compounds, Span: (27779, 27789)
  - Entity: 'isobetanin', Type: compounds, Span: (31966, 31976)
  - Entity: 'l-3,4-dihydroxyphenylalanine', Type: compounds, Span: (4442, 4470)
  - Entity: 'l-dopa', Type: compounds, Span: (153, 159)
  - Entity: 'l-dopa', Type: compounds, Span: (313, 319)
  - Entity: 'l-dopa', Type: compounds, Span: (711, 717)
  - Entity: 'l-dopa', Type: compounds, Span: (975, 981)
  - Entity: 'l-dopa', Type: compounds, Span: (1037, 1043)
  - Entity: 'l-dopa', Type: compounds, Span: (1243, 1249)
  - Entity: 'l-dopa', Type: compounds, Span: (1546, 1552)
  - Entity: 'l-dopa', Type: compounds, Span: (4472, 4478)
  - Entity: 'l-dopa', Type: compounds, Span: (4545, 4551)
  - Entity: 'l-dopa', Type: compounds, Span: (4782, 4788)
  - Entity: 'l-dopa', Type: compounds, Span: (5383, 5389)
  - Entity: 'l-dopa', Type: compounds, Span: (5561, 5567)
  - Entity: 'l-dopa', Type: compounds, Span: (6399, 6405)
  - Entity: 'l-dopa', Type: compounds, Span: (6528, 6534)
  - Entity: 'l-dopa', Type: compounds, Span: (6744, 6750)
  - Entity: 'l-dopa', Type: compounds, Span: (7115, 7121)
  - Entity: 'l-dopa', Type: compounds, Span: (7351, 7357)
  - Entity: 'l-dopa', Type: compounds, Span: (7653, 7659)
  - Entity: 'l-dopa', Type: compounds, Span: (7822, 7828)
  - Entity: 'l-dopa', Type: compounds, Span: (7943, 7949)
  - Entity: 'l-dopa', Type: compounds, Span: (8095, 8101)
  - Entity: 'l-dopa', Type: compounds, Span: (8251, 8257)
  - Entity: 'l-dopa', Type: compounds, Span: (8545, 8551)
  - Entity: 'l-dopa', Type: compounds, Span: (8691, 8697)
  - Entity: 'l-dopa', Type: compounds, Span: (25921, 25927)
  - Entity: 'l-dopa', Type: compounds, Span: (26042, 26048)
  - Entity: 'l-dopa', Type: compounds, Span: (26691, 26697)
  - Entity: 'l-dopa', Type: compounds, Span: (28534, 28540)
  - Entity: 'l-dopa', Type: compounds, Span: (28804, 28810)
  - Entity: 'l-dopa', Type: compounds, Span: (30708, 30714)
  - Entity: 'l-dopa', Type: compounds, Span: (30922, 30928)
  - Entity: 'l-dopa', Type: compounds, Span: (34198, 34204)
  - Entity: 'l-dopa', Type: compounds, Span: (34620, 34626)
  - Entity: 'l-dopa', Type: compounds, Span: (34798, 34804)
  - Entity: 'l-dopa', Type: compounds, Span: (35406, 35412)
  - Entity: 'l-dopa', Type: compounds, Span: (35640, 35646)
  - Entity: 'l-dopa', Type: compounds, Span: (37181, 37187)
  - Entity: 'l-dopa', Type: compounds, Span: (38472, 38478)
  - Entity: 'l-dopa', Type: compounds, Span: (38575, 38581)
  - Entity: 'l-dopa', Type: compounds, Span: (40895, 40901)
  - Entity: 'l-dopa', Type: compounds, Span: (41136, 41142)
  - Entity: 'l-dopa', Type: compounds, Span: (41427, 41433)
  - Entity: 'l-dopa', Type: compounds, Span: (41550, 41556)
  - Entity: 'l-dopa', Type: compounds, Span: (42482, 42488)
  - Entity: 'l-dopa', Type: compounds, Span: (42586, 42592)
  - Entity: 'l-dopa', Type: compounds, Span: (43598, 43604)
  - Entity: 'l-dopa', Type: compounds, Span: (44021, 44027)
  - Entity: 'l-dopa', Type: compounds, Span: (44444, 44450)
  - Entity: 'l-dopa', Type: compounds, Span: (44770, 44776)
  - Entity: 'l-dopa', Type: compounds, Span: (45347, 45353)
  - Entity: 'l-dopa', Type: compounds, Span: (45490, 45496)
  - Entity: 'l-dopa', Type: compounds, Span: (45658, 45664)
  - Entity: 'l-dopa', Type: compounds, Span: (46003, 46009)
  - Entity: 'l-dopa', Type: compounds, Span: (46550, 46556)
  - Entity: 'l-dopa', Type: compounds, Span: (46938, 46944)
  - Entity: 'l-dopa', Type: compounds, Span: (47095, 47101)
  - Entity: 'l-dopa', Type: compounds, Span: (47570, 47576)
  - Entity: 'l-dopa', Type: compounds, Span: (47730, 47736)
  - Entity: 'l-dopa', Type: compounds, Span: (47952, 47958)
  - Entity: 'l-dopa', Type: compounds, Span: (48125, 48131)
  - Entity: 'l-dopa', Type: compounds, Span: (50555, 50561)
  - Entity: 'l-dopa', Type: compounds, Span: (50914, 50920)
  - Entity: 'l-dopa', Type: compounds, Span: (51342, 51348)
  - Entity: 'l-dopa', Type: compounds, Span: (51853, 51859)
  - Entity: 'l-dopa', Type: compounds, Span: (51993, 51999)
  - Entity: 'l-dopa', Type: compounds, Span: (53182, 53188)
  - Entity: 'l-dopa', Type: compounds, Span: (53524, 53530)
  - Entity: 'l-dopa', Type: compounds, Span: (53794, 53800)
  - Entity: 'l-dopa', Type: compounds, Span: (54171, 54177)
  - Entity: 'l-dopa', Type: compounds, Span: (54264, 54270)
  - Entity: 'l-dopa', Type: compounds, Span: (54428, 54434)
  - Entity: 'l-dopa', Type: compounds, Span: (54751, 54757)
  - Entity: 'phenylalanine', Type: compounds, Span: (53081, 53094)
  - Entity: 'phenylalanine', Type: compounds, Span: (53730, 53743)
  - Entity: 'tyrosine', Type: compounds, Span: (2246, 2254)
  - Entity: 'tyrosine', Type: compounds, Span: (3995, 4003)
  - Entity: 'tyrosine', Type: compounds, Span: (47474, 47482)
  - Entity: 'tyrosine', Type: compounds, Span: (52630, 52638)
  - Entity: 'tyrosine', Type: compounds, Span: (52706, 52714)
  - Entity: 'tyrosine', Type: compounds, Span: (52788, 52796)
  - Entity: 'tyrosine', Type: compounds, Span: (53026, 53034)
  - Entity: 'tyrosine', Type: compounds, Span: (53257, 53265)
  - Entity: 'tyrosine', Type: compounds, Span: (53473, 53481)
  - Entity: 'tyrosine', Type: compounds, Span: (53655, 53663)

========================================

--- experimental_conditions ---

[False Negatives (0): Entities missed by the pipeline]

[False Positives (14): Entities incorrectly predicted by the pipeline]
  - Entity: 'agroinfiltration', Type: experimental_conditions, Span: (26671, 26687)
  - Entity: 'agroinfiltration', Type: experimental_conditions, Span: (30902, 30918)
  - Entity: 'heterologous assay', Type: experimental_conditions, Span: (7706, 7724)
  - Entity: 'heterologous assay', Type: experimental_conditions, Span: (7788, 7806)
  - Entity: 'heterologous assay', Type: experimental_conditions, Span: (28475, 28493)
  - Entity: 'heterologous assays', Type: experimental_conditions, Span: (4177, 4196)
  - Entity: 'heterologous expression', Type: experimental_conditions, Span: (25784, 25807)
  - Entity: 'heterologous expression', Type: experimental_conditions, Span: (26093, 26116)
  - Entity: 'heterologous transient assays', Type: experimental_conditions, Span: (34398, 34427)
  - Entity: 'heterologous transient assays', Type: experimental_conditions, Span: (40833, 40862)
  - Entity: 'recombinant expression', Type: experimental_conditions, Span: (34460, 34482)
  - Entity: 'stable transgenics', Type: experimental_conditions, Span: (34431, 34449)
  - Entity: 'transient expression', Type: experimental_conditions, Span: (29592, 29612)
  - Entity: 'transiently transformed', Type: experimental_conditions, Span: (25726, 25749)

[True Positives (0): Entities correctly predicted]

========================================

--- genes ---

[False Negatives (64): Entities missed by the pipeline]
  - Entity: 'adhalpha', Type: genes, Span: (52752, 52760)
  - Entity: 'arogenate dehydrogenase', Type: genes, Span: (52720, 52743)
  - Entity: 'bvdodaalpha2', Type: genes, Span: (38920, 38932)
  - Entity: 'doda', Type: genes, Span: (5407, 5411)
  - Entity: 'doda', Type: genes, Span: (5942, 5946)
  - Entity: 'doda', Type: genes, Span: (6105, 6109)
  - Entity: 'doda', Type: genes, Span: (25467, 25471)
  - Entity: 'doda', Type: genes, Span: (25532, 25536)
  - Entity: 'doda', Type: genes, Span: (25568, 25572)
  - Entity: 'doda', Type: genes, Span: (33633, 33637)
  - Entity: 'doda', Type: genes, Span: (33963, 33967)
  - Entity: 'doda', Type: genes, Span: (37319, 37323)
  - Entity: 'doda', Type: genes, Span: (41929, 41933)
  - Entity: 'doda', Type: genes, Span: (46394, 46398)
  - Entity: 'doda', Type: genes, Span: (46405, 46409)
  - Entity: 'doda', Type: genes, Span: (46485, 46489)
  - Entity: 'doda', Type: genes, Span: (46679, 46683)
  - Entity: 'doda', Type: genes, Span: (46690, 46694)
  - Entity: 'doda', Type: genes, Span: (46736, 46740)
  - Entity: 'doda', Type: genes, Span: (46747, 46751)
  - Entity: 'doda', Type: genes, Span: (46802, 46806)
  - Entity: 'doda', Type: genes, Span: (47789, 47793)
  - Entity: 'doda', Type: genes, Span: (49855, 49859)
  - Entity: 'doda', Type: genes, Span: (49978, 49982)
  - Entity: 'doda', Type: genes, Span: (50233, 50237)
  - Entity: 'doda', Type: genes, Span: (50323, 50327)
  - Entity: 'doda', Type: genes, Span: (50401, 50405)
  - Entity: 'doda', Type: genes, Span: (50525, 50529)
  - Entity: 'doda', Type: genes, Span: (50786, 50790)
  - Entity: 'doda', Type: genes, Span: (51010, 51014)
  - Entity: 'doda', Type: genes, Span: (52196, 52200)
  - Entity: 'doda', Type: genes, Span: (53565, 53569)
  - Entity: 'doda alpha', Type: genes, Span: (5017, 5027)
  - Entity: 'doda alpha', Type: genes, Span: (6105, 6115)
  - Entity: 'doda alpha', Type: genes, Span: (52196, 52206)
  - Entity: 'doda alpha', Type: genes, Span: (53565, 53575)
  - Entity: 'dodaalpha', Type: genes, Span: (8187, 8196)
  - Entity: 'dodaalpha', Type: genes, Span: (8310, 8319)
  - Entity: 'dodaalpha', Type: genes, Span: (28288, 28297)
  - Entity: 'dodaalpha', Type: genes, Span: (28775, 28784)
  - Entity: 'dodaalpha', Type: genes, Span: (32967, 32976)
  - Entity: 'dodaalpha', Type: genes, Span: (34588, 34597)
  - Entity: 'dodaalpha', Type: genes, Span: (35194, 35203)
  - Entity: 'dodaalpha', Type: genes, Span: (35264, 35273)
  - Entity: 'dodaalpha', Type: genes, Span: (37418, 37427)
  - Entity: 'dodaalpha', Type: genes, Span: (37639, 37648)
  - Entity: 'dodaalpha', Type: genes, Span: (37780, 37789)
  - Entity: 'dodaalpha', Type: genes, Span: (37924, 37933)
  - Entity: 'dodaalpha', Type: genes, Span: (38041, 38050)
  - Entity: 'dodaalpha', Type: genes, Span: (38070, 38079)
  - Entity: 'dodaalpha', Type: genes, Span: (38194, 38203)
  - Entity: 'dodaalpha', Type: genes, Span: (43536, 43545)
  - Entity: 'dodaalpha', Type: genes, Span: (43711, 43720)
  - Entity: 'dodaalpha', Type: genes, Span: (43781, 43790)
  - Entity: 'dodaalpha', Type: genes, Span: (43886, 43895)
  - Entity: 'dodaalpha', Type: genes, Span: (44137, 44146)
  - Entity: 'dodaalpha', Type: genes, Span: (44537, 44546)
  - Entity: 'dodaalpha', Type: genes, Span: (47174, 47183)
  - Entity: 'dodaalpha', Type: genes, Span: (47831, 47840)
  - Entity: 'dodaalpha', Type: genes, Span: (48046, 48055)
  - Entity: 'dodaalpha1', Type: genes, Span: (28660, 28670)
  - Entity: 'dodabeta', Type: genes, Span: (28242, 28250)
  - Entity: 'firefly luciferase', Type: genes, Span: (27881, 27899)
  - Entity: 'firefly luciferase', Type: genes, Span: (32068, 32086)

[False Positives (6): Entities incorrectly predicted by the pipeline]
  - Entity: 'bvdoda alpha 1', Type: genes, Span: (32400, 32414)
  - Entity: 'luciferase', Type: genes, Span: (27889, 27899)
  - Entity: 'madodaalpha', Type: genes, Span: (30396, 30407)
  - Entity: 'pgdodaalpha1', Type: genes, Span: (38997, 39009)
  - Entity: 'pmdodaalpha1', Type: genes, Span: (38969, 38981)
  - Entity: 'pmdodaalpha2', Type: genes, Span: (39027, 39039)

[True Positives (187): Entities correctly predicted]
  - Entity: 'bvcyp76ad1', Type: genes, Span: (26967, 26977)
  - Entity: 'bvcyp76ad1', Type: genes, Span: (31372, 31382)
  - Entity: 'bvcyp76ad1', Type: genes, Span: (32419, 32429)
  - Entity: 'bvdoda1', Type: genes, Span: (6326, 6333)
  - Entity: 'bvdoda2', Type: genes, Span: (6456, 6463)
  - Entity: 'bvdodaalpha1', Type: genes, Span: (6352, 6364)
  - Entity: 'bvdodaalpha1', Type: genes, Span: (6589, 6601)
  - Entity: 'bvdodaalpha1', Type: genes, Span: (26406, 26418)
  - Entity: 'bvdodaalpha1', Type: genes, Span: (27085, 27097)
  - Entity: 'bvdodaalpha1', Type: genes, Span: (27270, 27282)
  - Entity: 'bvdodaalpha1', Type: genes, Span: (28384, 28396)
  - Entity: 'bvdodaalpha1', Type: genes, Span: (28690, 28702)
  - Entity: 'bvdodaalpha1', Type: genes, Span: (28909, 28921)
  - Entity: 'bvdodaalpha1', Type: genes, Span: (28963, 28975)
  - Entity: 'bvdodaalpha1', Type: genes, Span: (29020, 29032)
  - Entity: 'bvdodaalpha1', Type: genes, Span: (29888, 29900)
  - Entity: 'bvdodaalpha1', Type: genes, Span: (29970, 29982)
  - Entity: 'bvdodaalpha1', Type: genes, Span: (30439, 30451)
  - Entity: 'bvdodaalpha1', Type: genes, Span: (30512, 30524)
  - Entity: 'bvdodaalpha1', Type: genes, Span: (30662, 30674)
  - Entity: 'bvdodaalpha1', Type: genes, Span: (31406, 31418)
  - Entity: 'bvdodaalpha1', Type: genes, Span: (31640, 31652)
  - Entity: 'bvdodaalpha1', Type: genes, Span: (34978, 34990)
  - Entity: 'bvdodaalpha1', Type: genes, Span: (38889, 38901)
  - Entity: 'bvdodaalpha1', Type: genes, Span: (44571, 44583)
  - Entity: 'bvdodaalpha2', Type: genes, Span: (6482, 6494)
  - Entity: 'bvdodaalpha2', Type: genes, Span: (6606, 6618)
  - Entity: 'bvdodaalpha2', Type: genes, Span: (6681, 6693)
  - Entity: 'bvdodaalpha2', Type: genes, Span: (6720, 6732)
  - Entity: 'bvdodaalpha2', Type: genes, Span: (6784, 6796)
  - Entity: 'bvdodaalpha2', Type: genes, Span: (27596, 27608)
  - Entity: 'bvdodaalpha2', Type: genes, Span: (29681, 29693)
  - Entity: 'bvdodaalpha2', Type: genes, Span: (29910, 29922)
  - Entity: 'bvdodaalpha2-5', Type: genes, Span: (38920, 38934)
  - Entity: 'bvdodaalpha3', Type: genes, Span: (27621, 27633)
  - Entity: 'bvdodaalpha3', Type: genes, Span: (30162, 30174)
  - Entity: 'bvdodaalpha4', Type: genes, Span: (30098, 30110)
  - Entity: 'bvdodaalpha5', Type: genes, Span: (30179, 30191)
  - Entity: 'cgdoda1', Type: genes, Span: (35088, 35095)
  - Entity: 'cgdodaalpha1', Type: genes, Span: (28923, 28935)
  - Entity: 'cgdodaalpha1', Type: genes, Span: (38983, 38995)
  - Entity: 'cgdodaalpha2', Type: genes, Span: (29698, 29710)
  - Entity: 'cgdodaalpha2', Type: genes, Span: (29927, 29939)
  - Entity: 'cgdodaalpha2', Type: genes, Span: (39041, 39053)
  - Entity: 'cqdoda-1', Type: genes, Span: (34995, 35003)
  - Entity: 'cqdoda-1', Type: genes, Span: (38879, 38887)
  - Entity: 'cyp76ad1', Type: genes, Span: (33650, 33658)
  - Entity: 'cyp76ad1', Type: genes, Span: (33980, 33988)
  - Entity: 'cyp76ad1', Type: genes, Span: (42371, 42379)
  - Entity: 'cyp76ad1', Type: genes, Span: (43088, 43096)
  - Entity: 'doda', Type: genes, Span: (206, 210)
  - Entity: 'doda', Type: genes, Span: (428, 432)
  - Entity: 'doda', Type: genes, Span: (519, 523)
  - Entity: 'doda', Type: genes, Span: (693, 697)
  - Entity: 'doda', Type: genes, Span: (925, 929)
  - Entity: 'doda', Type: genes, Span: (1095, 1099)
  - Entity: 'doda', Type: genes, Span: (1175, 1179)
  - Entity: 'doda', Type: genes, Span: (4591, 4595)
  - Entity: 'doda', Type: genes, Span: (4711, 4715)
  - Entity: 'doda', Type: genes, Span: (5017, 5021)
  - Entity: 'doda', Type: genes, Span: (7434, 7438)
  - Entity: 'doda', Type: genes, Span: (7623, 7627)
  - Entity: 'doda', Type: genes, Span: (8034, 8038)
  - Entity: 'doda', Type: genes, Span: (22712, 22716)
  - Entity: 'doda', Type: genes, Span: (23593, 23597)
  - Entity: 'doda', Type: genes, Span: (23793, 23797)
  - Entity: 'doda', Type: genes, Span: (23936, 23940)
  - Entity: 'doda', Type: genes, Span: (24223, 24227)
  - Entity: 'doda', Type: genes, Span: (24390, 24394)
