Pathways	Pathways ID
cyanidin diglucoside biosynthesis (acyl-glucose dependent)	PWY-7256
superpathway of betalain biosynthesis	PWY-5405
alkane oxidation	PWY-2724
thiosulfate disproportionation IV (rhodanese)	PWY-5350
zeaxanthin biosynthesis	PWY-5944
methylhalides biosynthesis (plants)	PWY-6730
pyrimidine deoxyribonucleotide phosphorylation	PWY-7197
sucrose degradation III (sucrose invertase)	PWY-621
ursolate biosynthesis	PWY-7068
chlorogenic acid biosynthesis II	PWY-6040
trichome monoterpenes biosynthesis	PWY-6447
assimilatory sulfate reduction II	SULFMETII-PWY
&gamma;-linolenate biosynthesis I (plants)	PWY-5998
"1D-<i>myo</i>-inositol hexakisphosphate biosynthesis V (from Ins(1,3,4)P3)"	PWY-6554
salicylate biosynthesis I	PWY-6406
phloridzin biosynthesis	PWY-6515
glucosinolate biosynthesis from tryptophan	PWY-601
thioredoxin pathway	THIOREDOX-PWY
luteolinidin 5-<i>O</i>-glucoside biosynthesis	PWY-7252
neurosporene biosynthesis	PWY-6287
ajmaline and sarpagine biosynthesis	PWY-5301
glutathione-glutaredoxin redox reactions	GLUT-REDOX-PWY
(<i>Z</i>)-phenylmethanethial <i>S</i>-oxide biosynthesis	PWY-6539
cis-calamenene related sesquiterpenoids biosynthesis	PWY-6128
fenchol biosynthesis I	PWY-6437
superpathway of ergosterol biosynthesis II	PWY-7156
bergamotene biosynthesis I	PWY-6243
"(3<i>E</i>)-4,8-dimethylnona-1,3,7-triene biosynthesis II"	PWY-6007
4-hydroxycoumarin and dicoumarol biosynthesis	PWY-6418
monoacylsucrose biosynthesis (<i>Solanum</i>)	PWY18C3-8
kaempferol gentiobioside biosynthesis	PWY-7143
superpathway of rosmarinic acid biosynthesis	PWY-5071
"fatty acid &beta;-oxidation V (unsaturated, odd number, di-isomerase-dependent)"	PWY-6837
(-)-4'-demethyl-epipodophyllotoxin biosynthesis	PWY-7749
superpathway of anaerobic sucrose degradation	PWY-7345
tropane alkaloids biosynthesis	PWY-5317
heme <i>b</i> biosynthesis I (aerobic)	HEME-BIOSYNTHESIS-II
cycloartenol biosynthesis	PWY-8028
D-serine degradation	PWY0-1535
magnoflorine biosynthesis	PWY-5876
methyl indole-3-acetate interconversion	PWY0A-6303
S-methyl-L-methionine cycle	PWY-5441
ceramide degradation (generic)	PWY-6483
vernolate biosynthesis III	PWY-6917
quercetin glycoside biosynthesis (Arabidopsis)	PWY-5321
pyruvate decarboxylation to acetyl CoA I	PYRUVDEHYD-PWY
superpathway of anthocyanin biosynthesis (from pelargonidin 3-O-glucoside)	PWY-5312
kievitone biosynthesis	PWY-4681
9-lipoxygenase and 9-hydroperoxide lyase pathway	PWY-5408
volatile esters biosynthesis (during fruit ripening)	PWY-6801
UDP-&alpha;-D-galacturonate biosynthesis II (from D-galacturonate)	PWY-4
L-canavanine degradation I	PWY-31
salvianin biosynthesis	PWY-5268
zymosterol biosynthesis	PWY-6074
indole-3-acetate inactivation IX	PWY-1741
gibberellin inactivation II (methylation)	PWY-6477
cytokinins 7-<i>N</i>-glucoside biosynthesis	PWY-2881
"6,7,4'-trihydroxyisoflavone biosynthesis"	PWY-5061
L-leucine biosynthesis	LEUSYN-PWY
pyruvate fermentation to ethanol II	PWY-5486
phenolic malonylglucosides biosynthesis	PWY-6930
glycerol degradation I	PWY-4261
syringetin biosynthesis	PWY-5391
"2,3-<i>cis</i>-flavanols biosynthesis"	PWY-6035
linalool biosynthesis I	PWY-7182
&beta;-alanine biosynthesis II	PWY-3941
levopimaric acid biosynthesis	PWY-5412
"phytocassanes biosynthesis, shared reactions"	PWY-7484
5-deoxystrigol biosynthesis	PWY-7101
eudesmol biosynthesis	PWY-6271
luteolin triglucuronide biosynthesis	PWY-7444
L-<i>N<sup>&delta;</sup></i>-acetylornithine biosynthesis	PWY-6922
quercetin triglucoside biosynthesis	PWY-7173
guanine and guanosine salvage II	PWY-6599
diphyllin biosynthesis	PWY-6820
pyruvate fermentation to acetoin	PWY3O-440
pinitol biosynthesis II	PWY-6739
superpathway of C28 brassinosteroid biosynthesis	PWY-6544
phytate degradation II	PWY-4781
ricinoleate biosynthesis	PWY-7618
ternatin C3 biosynthesis	PWY-7280
ajugose biosynthesis I (galactinol-dependent)	PWY-5342
dhurrin degradation	PWY-5976
hydroxylated mugineic acid phytosiderophore biosynthesis	PWY-5925
malonly-CoA biosynthesis via biotin-carboxyl carrier protein	PWY0-1264
quercetin glucoside degradation (<i>Allium</i>)	PWY-7133
superpathway of tetrahydrofolate biosynthesis	PWY-6612
L-ascorbate degradation IV	PWY-6704
UDP-&beta;-L-arabinose biosynthesis II (from &beta;-L-arabinose)	PWY-82
L-lysine degradation I	PWY0-461
brassinolide biosynthesis II	PWY-2582
superpathway of glycoalkaloid metabolism (Solanaceae)	PWY18C3-6
(+)-camphor biosynthesis	PWY-6990
6-methoxypodophyllotoxin biosynthesis	PWY-5479
chlorogenic acid biosynthesis I	PWY-6039
matairesinol biosynthesis	PWY-5466
2-methylketone biosynthesis	PWY-6585
eugenol and isoeugenol biosynthesis	PWY-5859
chrysophanol biosynthesis	PWY-5371
L-tyrosine biosynthesis II	PWY-3461
anthocyanin biosynthesis	PWY-5125
4-aminobutanoate degradation IV	PWY-6473
urea degradation I	PWY-5703
daphnetin modification	PWY-7055
phosphatidylethanolamine biosynthesis II	PWY4FS-6
4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis I	PWY-6890
lupeol biosynthesis	PWY-112
heliocides biosynthesis	PWY-5827
L-alanine degradation III	ALANINE-DEG3-PWY
ferulate and sinapate biosynthesis	PWY-5168
(-)-maackiain biosynthesis	PWY-2464
<i>cis</i>-zeatin biosynthesis	PWY-2781
"diacylglyceryl-<i>N,N,N</i>-trimethylhomoserine biosynthesis"	PWY-6795
punicate biosynthesis	PWY-5374
steviol biosynthesis	PWY-7070
&beta;-cubebene biosynthesis	PWY-6290
cyanide detoxification I	ASPSYNII-PWY
plastoquinol-9 biosynthesis I	PWY-1581
superpathway of pyrimidine deoxyribonucleoside salvage	PWY-7200
glyceollin biosynthesis	PWY-2762
geranyl &beta;-primeveroside biosynthesis	PWY-7697
indole-3-acetate inactivation V	PWY-5788
&beta;-alanine betaine biosynthesis	PWY-4021
pyrimidine ribonucleosides salvage II	PWY-6556
indigo biosynthesis	PWY-6069
arctigenin and isoarctigenin biosynthesis	PWY-7631
camptothecin biosynthesis	PWY-6326
isopimaric acid biosynthesis	PWY-5422
TCA cycle variation V (plant)	PWYQT-4481
lysine degradation II	LYSINE-DEG2-PWY
superpathway of fermentation (<i>Chlamydomonas reinhardtii</i>)	PWY4LZ-257
curcumin glucoside biosynthesis	PWY-4421
glycerolipid acyl chain desaturation (Chlamydomonas)	PWYIO2-1
capsanthin and capsorubin biosynthesis	PWY-5174
pelargonidin diglucoside biosynthesis (acyl-glucose dependent)	PWY-7259
nitric oxide biosynthesis II (mammals)	PWY-4983
superpathway of L-threonine biosynthesis	THRESYN-PWY
salvigenin biosynthesis	PWY-7325
&alpha;-amyrin biosynthesis	PWY-5377
(-)-camphor biosynthesis	PWY-6991
NAD biosynthesis from 2-amino-3-carboxymuconate semialdehyde	PWY-5653
polymethylated quercetin glucoside biosynthesis I - quercetin series (Chrysosplenium)	PWY-7150
acridone alkaloid biosynthesis	PWY-5958
plumbagin biosynthesis	PWY-6314
nonaprenyl diphosphate biosynthesis I	PWY-5805
detoxification of reactive carbonyls in chloroplasts	PWY-6786
L-methionine degradation II	PWY-701
canthaxanthin biosynthesis	PWY-5291
"phosphatidate metabolism, as a signaling molecule"	PWY-7039
plant sterol biosynthesis II	PWY-6663
NAD salvage (plants)	PWY-5381
superpathway of pantothenate and coenzymeA biosynthesis	PWY-4221ARA
anthocyanin biosynthesis (delphinidin 3-O-glucoside)	PWY-5153
glucosinolate biosynthesis from homomethionine	PWY-1187
L-asparagine biosynthesis I	ASPARAGINE-BIOSYNTHESIS
kaempferol diglycoside biosynthesis (pollen-specific)	PWY-7191
lathyrine biosynthesis	PWY-1
sanguinarine and macarpine biosynthesis	PWY-5287
cinchona alkaloids biosynthesis	PWY-5848
salicylate glucosides biosynthesis II	PWY-6623
superpathway of formononetin derivative biosynthesis	PWY-5717
acetyl-CoA biosynthesis from citrate	PWY-5172
yatein biosynthesis I	PWY-7748
superpathway of tetrahydroxyxanthone biosynthesis	PWY-13
pyrimidine deoxyribonucleosides salvage	PWY-7199
pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis II	PWY-7187
ricinoleate biosynthesis	PWY-6429
acylated cyanidin galactoside biosynthesis	PWY-7449
ammonia assimilation cycle II	PWY-6964
gibberellin biosynthesis V	PWY-7232
oleanolate biosynthesis	PWY-7069
bornyl diphosphate biosynthesis	PWY-5813
(4S)-carvone biosynthesis	PWY-7443
yatein biosynthesis II	PWY-7629
coumarin biosynthesis (via 2-coumarate)	PWY-5176
hispidol and hispidol 4'-<i>O</i>-&beta;-<i>D</i>-glucoside biosynthesis	PWY-6401
sciadonate biosynthesis	PWY-6598
dalcochinin biosynthesis	PWY-5821
phosphatidylserine and phosphatidylethanolamine biosynthesis I	PWY-5669
hydroxymethylpyrimidine salvage	PWY-6910
brassinolide biosynthesis I	PWY-699
piperine biosynthesis	PWY-5752
ornithine-citrulline shuttle	PWY-7060
L-valine biosynthesis	VALSYN-PWY
acetate and ATP formation from acetyl-CoA I	PWY0-1312
esculetin biosynthesis	PWY-5349
mannitol biosynthesis	PWY-3881
(3<i>R</i>)-linalool biosynthesis	PWY-7709
tetrahydrofolate biosynthesis II	PWY-3742
superpathway of photosynthetic hydrogen production	PWY-7731
gallate biosynthesis	PWY-5769
superpathway of polymethylated quercetin/quercetagetin glucoside biosynthesis (Chrysosplenium)	PWY-7149
6-gingerol biosynthesis	PWY-6835
sinapate ester biosynthesis	PWY-3301
phenylethanol biosynthesis	PWY-5751
superpathway of linamarin and lotaustralin biosynthesis	PWY-5991
coumestrol biosynthesis	PWY-6332
cardiolipin biosynthesis II	PWY-5269
<i>ent</i>-kaurene biosynthesis I	PWY-5032
vestitol and sativan biosynthesis	PWY-5729
acylsucrose biosynthesis (<i>Solanum pennellii</i>)	PWY18C3-15
"(<i>E,E</i>)-4,8,12-trimethyltrideca-1,3,7,11-tetraene biosynthesis"	PWY-6668
Inorganic Nitrogen Assimilation	PWY4LZ-283
eupatolitin 3-<i>O</i>-glucoside biosynthesis	PWY-7157
2'-deoxymugineic acid phytosiderophore biosynthesis	PWY-5912
acylsucrose biosynthesis (<i>Solanum habrochaites</i>)	PWY18C3-16
des-methyl avenacin A-1 biosynthesis	PWY-7475
dimorphecolate biosynthesis	PWY-5368
saponin biosynthesis II	PWY-5756
inosine-5'-phosphate biosynthesis II	PWY-6124
glycerol-3-phosphate shuttle	PWY-6118
guanosine nucleotides degradation I	PWY-6607
L-methionine salvage cycle I (bacteria and plants)	PWY-7528
"fatty acid &beta;-oxidation III (unsaturated, odd number)"	PWY-5137
"2,3-<i>trans</i>-flavanols biosynthesis"	PWY-6029
felinine and 3-methyl-3-sulfanylbutan-1-ol biosynthesis	PWY-8001
polymethylated kaempferol biosynthesis	PWY-7163
anthocyanidin modification (<i>Arabidopsis</i>)	PWY-7450
palmitoleate biosynthesis II (plants and bacteria)	PWY-5366
pyridoxal 5'-phosphate salvage I	PLPSAL-PWY
sucrose biosynthesis II	PWY-7238
superpathway of benzoxazinoid glucosides biosynthesis	PWY-4161
biochanin A conjugates interconversion	PWY-2861
&gamma;-glutamyl cycle	PWY-4041
lupinate biosynthesis	PWY-5967
superpathway of fatty acid biosynthesis II (plant)	PWY-5156
traumatin and (<i>Z</i>)-3-hexen-1-yl acetate biosynthesis	PWY-5410
"C4 photosynthetic carbon assimilation cycle, NAD-ME type"	PWY-7115
L-proline degradation I	PROUT-PWY
"cholesterol biosynthesis (plants, early side-chain reductase)"	PWY18C3-1
UTP and CTP dephosphorylation II	PWY-7177
nicotine biosynthesis	PWY-5316
peonidin and derivatives biosynthesis	PWY-6062
ginsenoside degradation III	PWY-6413
carotenoid cleavage	PWY-6806
L-asparagine degradation II	PWY-4002
stigma estolide biosynthesis	PWY-6453
tuberonate glucoside biosynthesis	PWY-6297
glucosinolate biosynthesis from hexahomomethionine	PWYQT-4475
homogalacturonan biosynthesis	PWY-1061
cornusiin E biosynthesis	PWY-5476
monolignol glucosides biosynthesis	PWY-83
beta-carboline biosynthesis	PWY-5877
parkeol biosynthesis	PWY-8027
glycine biosynthesis I	GLYSYN-PWY
galactosylcyclitol biosynthesis	PWY-5338
superpathway of plastoquinol biosynthesis	PWY-5864
linamarin degradation	PWY-3121
taxiphyllin bioactivation	PWY-7089
superpathway of lipid-dependent phytate biosynthesis	PWY-4765
furcatin degradation	PWY-7113
IAA biosynthesis VII	PWY-6066
4-hydroxybenzoate biosynthesis III (plants)	PWY-6435
sulfur volatiles biosynthesis	PWY-6736
ammonia assimilation cycle I	PWY-6963
putrescine degradation IV	PWY-2
L-glutamate biosynthesis IV	GLUGLNSYN-PWY
superoxide radicals degradation	DETOX1-PWY
acetaldehyde biosynthesis I	PWY-6333
superpathway of 1D-<i>myo</i>-inositol hexakisphosphate biosynthesis (plants)	PWY-6555
jasmonic acid biosynthesis	PWY-735
quercetin sulfate biosynthesis	PWY-6199
&omega;- hydroxylation of laurate	PWY-6468
fructan degradation	PWY-862
phytyl diphosphate biosynthesis	PWY-5063
"lipid-dependent phytate biosynthesis I (via Ins(1,4,5)P<sub>3</sub>)"	PWY-4541
dolabralexins biosynthesis	PWY-7994
serinol biosynthesis	PWY-6456
spermidine biosynthesis I	BSUBPOLYAMSYN-PWY
pyruvate fermentation to acetate IV	PWY-5485
acyl-CoA hydrolysis	PWY-5148
pinocembrin <i>C</i>-glucosylation	PWY-7189
acyl-[acyl-carrier protein] thioesterase pathway	PWY-5142
L-asparagine biosynthesis III (tRNA-dependent)	PWY490-4
lampranthin biosynthesis	PWY-7265
gibberellin biosynthesis III (early C-13 hydroxylation)	PWY-5035
volatile benzenoid biosynthesis I (ester formation)	PWY-4203
L-glutamate degradation I	GLUTAMATE-DEG1-PWY
"1,3-&beta;-D-glucan biosynthesis"	PWY-6773
inosine 5'-phosphate degradation	PWY-5695
coumarin metabolism (to melilotic acid)	PWY-5319
ethanol degradation IV	PWY66-162
nitrogen remobilization from senescing leaves	PWY-6549
anthocyanidin sophoroside metabolism	PWY-5286
"benzoate biosynthesis III (CoA-dependent, non-&beta;-oxidative)"	PWY-6446
superpathway of flavones and derivatives biosynthesis	PWY-6266-ARA
geranyl diphosphate biosynthesis	PWY-5122
lacinilene C biosynthesis	PWY-5828
dehydroscoulerine biosynthesis	PWY-6337
gossypol biosynthesis	PWY-5773
rutin degradation (plants)	PWY-7134
superpathway of isoleucine and valine biosynthesis	ILE-VAL-PWY
dalpatein and dalnigrein biosynthesis	PWY-5825
anthocyanin biosynthesis (pelargonidin 3-<i>O</i>-glucoside)	PWY-7267
calystegine biosynthesis	PWY-5318
3-methylthiopropanoate biosynthesis	PWY-5389
"2-carboxy-1,4-naphthoquinol biosynthesis"	PWY-5837
&omega;-hydroxylation of caprate and laurate	PWY-6465
rose anthocyanin biosynthesis II (via cyanidin 3-<i>O</i>-&beta;-<i>D</i>-glucoside)	PWY-7262
juniperonate biosynthesis	PWY-7619
8-<i>O</i>-methylated benzoxazinoid glucoside biosynthesis	PWY-8076
spermine biosynthesis	ARGSPECAT-PWY
juglone biosynthesis	PWY-5795
wogonin metabolism	PWY-7213
"3,8-divinyl-chlorophyllide <i>a</i> biosynthesis I (aerobic, light-dependent)"	CHLOROPHYLL-SYN
pyrimidine salvage pathway	PWYQT-4445
rutin biosynthesis	PWY-5390
"D-<i>myo</i>-inositol (1,3,4)-trisphosphate biosynthesis"	PWY-6364
"1,3,6,7-tetrahydroxyxanthone biosynthesis (from benzoyl-CoA)"	PWY-5001
juvenile hormone III biosynthesis I	PWY-6575
purine nucleosides salvage II (plant)	PWY-5043
D-galactose degradation I (Leloir pathway)	PWY-6317
fatty acid &beta;-oxidation II (plant peroxisome)	PWY-5136
photorespiration I	PWY-181
indole-3-acetate inactivation II	PWY-1962
medicarpin conjugates interconversion	PWY-2561
superpathway of glyoxylate cycle and fatty acid degradation	PWY-561
lipid IV<sub>A</sub> biosynthesis (<i>E. coli</i>)	NAGLIPASYN-PWY
phaselate biosynthesis	PWY-6320
<i>t</i>-anethole biosynthesis	PWY-5867
ethiin metabolism	PWY-5708
ophthalmate biosynthesis	PWY-8043
L-ornithine biosynthesis I	GLUTORN-PWY
dehydroabietic acid biosynthesis	PWY-5421
superpathway of acetyl-CoA biosynthesis	PWY-5173
superpathway of oleoresin turpentine biosynthesis	PWY-5424
baicalein degradation (hydrogen peroxide detoxification)	PWY-7214
rotenoid biosynthesis II	PWY-6425
diacylglycerol and triacylglycerol biosynthesis	TRIGLSYN-PWY
coumarins biosynthesis (engineered)	PWY-7398
pelargonidin conjugates biosynthesis	PWY-5139
folate transformations II (plants)	PWY-3841
3-(4-hydroxyphenyl)pyruvate biosynthesis	PWY-5886
saponin biosynthesis IV	PWY-5774
free phenylpropanoid acid biosynthesis	PWY-2181
secologanin and strictosidine biosynthesis	PWY-5290
betulinate biosynthesis	PWY-7067
lipoate biosynthesis and incorporation I	PWY0-501
L-isoleucine degradation I	ILEUDEG-PWY
salicylate biosynthesis III	PWY-981
willardiine and isowillardiine biosynthesis	PWY-5021
momilactone A biosynthesis	PWY-7477
"vindoline, vindorosine and vinblastine biosynthesis"	PWY-5292
arabidopyrone biosynthesis	PWY-7682
capsidiol biosynthesis	PWY-2921
L-glutamate degradation IV	PWY-4321
salidroside biosynthesis	PWY-6802
dTDP-&beta;-L-rhamnose biosynthesis	DTDPRHAMSYN-PWY
"L-ascorbate biosynthesis I (plants, L-galactose pathway)"	PWY-882
superpathway of carotenoid biosynthesis in plants	CAROTENOID-PWY
superpathway of avenacin A biosynthesis	PWY-7476
superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate)	PWY-5910
phosphatidylinositol biosynthesis II (eukaryotes)	PWY-7625
oryzalexin D and E biosynthesis	PWY-7478
terminal olefins biosynthesis II	PWY-7029
D-sorbitol biosynthesis I	PWY-5054
trehalose degradation II (cytosolic)	PWY0-1182
vitamin E biosynthesis (tocotrienols)	PWY-7436
superpathway of gibberellin biosynthesis	PWY-5052
iron reduction and absorption	PWY-5934
pyrimidine ribonucleosides salvage I	PWY-7193
4-aminobenzoate biosynthesis I	PWY-6543
glycolysis I (from glucose 6-phosphate)	GLYCOLYSIS
"C4 photosynthetic carbon assimilation cycle, PEPCK type"	PWY-7117
methylglyoxal degradation I	PWY-5386
usnate biosynthesis	PWY-5810
chitin degradation III (carnivorous plants)	PWY-6814
oxalate degradation VI	PWY-7985
tricin biosynthesis	PWY-7995
hordatine biosynthesis	PWY-6448
phospholipid desaturation	PWY-762
oleoresin monoterpene volatiles biosynthesis	PWY-5423
menthol biosynthesis	PWY-3061
berberine biosynthesis	PWY-3901
methyl ketone biosynthesis (engineered)	PWY-7007
<i>trans</i>-lycopene biosynthesis I	PWY-5942
superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis	PWY-7211
6-methoxymellein biosynthesis	PWY-4922
flavonoid biosynthesis (in equisetum)	PWY-6787
"astaxanthin biosynthesis (bacteria, fungi, algae)"	PWY-5288
UDP-&alpha;-D-glucuronate biosynthesis (from UDP-glucose)	PWY-7346
trigonelline biosynthesis	PWY-5110
phosphopantothenate biosynthesis I	PANTO-PWY
"1D-<i>myo</i>-inositol hexakisphosphate biosynthesis I (from Ins(1,4,5)P3)"	PWY-6361
xanthohumol biosynthesis	PWY-5135
CA1P biosynthesis	PWYQT-4433
cannabinoid biosynthesis	PWY-5140
L-leucine degradation I	LEU-DEG2-PWY
gibberellin inactivation I (2&beta;-hydroxylation)	PWY-102
L-methionine biosynthesis II	PWY-702
theobromine biosynthesis II (via xanthine)	PWY-5040
"<i>trans, trans</i>-farnesyl diphosphate biosynthesis"	PWY-5123
<i>S</i>-methyl-5-thio-&alpha;-D-ribose 1-phosphate degradation I	PWY-4361
(+)-secoisolariciresinol diglucoside biosynthesis	PWY-7487
L-histidine biosynthesis	HISTSYN-PWY
bisabolene biosynthesis (engineered)	PWY-7102
indole degradation to anthranil and anthranilate	PWY-7430
ephedrine biosynthesis	PWY-5883
chelerythrine biosynthesis	PWY-7507
Rubisco shunt	PWY-5723
superpathway of L-phenylalanine and L-tyrosine biosynthesis	PWY-3481
betacyanin biosynthesis (via dopamine)	PWY-5439
seleno-amino acid biosynthesis (plants)	PWY-6936
superpathway of branched chain amino acid biosynthesis	BRANCHED-CHAIN-AA-SYN-PWY
steviol glucoside biosynthesis (rebaudioside A biosynthesis)	PWY-7071
superpathway of heme <i>b</i> biosynthesis from glutamate	PWY-5918
pentaketide chromone biosynthesis	PWY-12
divinyl ether biosynthesis I	PWY-5406
superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis (<i>E. coli</i>)	PWY0-166
L-serine biosynthesis I	SERSYN-PWY
curcuminoid biosynthesis	PWY-6432
starch biosynthesis	PWY-622
superpathway of pyrimidine ribonucleotides <i>de novo</i> biosynthesis	PWY0-162
palmatine biosynthesis	PWY-5470
CMP phosphorylation	PWY-7205
divinyl ether biosynthesis II	PWY-5409
superpathway of pyrimidine nucleobases salvage	PWY-7208
&beta;-carotene biosynthesis	PWY-5943
CMP-KDO biosynthesis II (from D-arabinose 5-phosphate)	PWY-5111
UDP-&alpha;-D-galacturonate biosynthesis I (from UDP-D-glucuronate)	PWY-4861
amaranthin biosynthesis	PWY-5400
anthocyanidin 3-malylglucoside biosynthesis (acyl-glucose dependent)	PWY-7261
indole-3-acetate inactivation IV	PWY-2021
superpathway of purine nucleotides <i>de novo</i> biosynthesis I	PWY-841
(3<i>S</i>)-linalool biosynthesis	PWY-7141
perillyl aldehyde biosynthesis	PWY-6436
adenine and adenosine salvage II	PWY-6605
GDP-L-galactose biosynthesis	PWY-5115
